timestamp,open,high,low,close,volume,liquidity_usd
2024-09-13,0.05774,0.05996,0.05628,0.05902,174555703.840519,10302277.640667433
2024-09-14,0.0591,0.06146,0.05797,0.06,159523353.205106,9571401.192306358
2024-09-15,0.06001,0.06025,0.05673,0.05715,99972889.185822,5713450.616969727
2024-09-16,0.05711,0.05829,0.0541,0.05551,139346929.151737,7735148.03721292
2024-09-17,0.05552,0.05947,0.0549,0.05726,128915249.276813,7381687.173590312
2024-09-18,0.05727,0.06069,0.05477,0.06062,161951733.235495,9817514.068735708
2024-09-19,0.06062,0.0654,0.06062,0.06351,285671973.858181,18143027.059733074
2024-09-20,0.06359,0.06696,0.0609,0.06443,236953059.509203,15266885.62417795
2024-09-21,0.06445,0.06481,0.0613,0.06414,74926322.746359,4805774.340951467
2024-09-22,0.06415,0.06498,0.0604,0.06374,145148174.489698,9251744.64197335
2024-09-23,0.06374,0.0692,0.06203,0.06475,271530373.920257,17581591.71133664
2024-09-24,0.06476,0.06805,0.06183,0.06722,271989702.281685,18283147.787374865
2024-09-25,0.0674,0.07162,0.06566,0.06888,268387705.853192,18486545.179167863
2024-09-26,0.06896,0.07559,0.06758,0.07329,378164900.304453,27715705.543313358
2024-09-27,0.07326,0.08485,0.07301,0.08143,343856793.054229,28000258.65840587
2024-09-28,0.08146,0.08733,0.07832,0.08013,345292795.901768,27668311.735608675
2024-09-29,0.08011,0.0813,0.07566,0.08044,222252006.11247,17877951.37168709
2024-09-30,0.08047,0.08119,0.07617,0.07799,250221559.032211,19514779.388922136
2024-10-01,0.07797,0.08355,0.06563,0.06742,397346861.47599,26789125.400711242
2024-10-02,0.06743,0.06997,0.06058,0.06185,328034962.074505,20288962.404308133
2024-10-03,0.06183,0.06401,0.05765,0.06025,248072019.327323,14946339.164471209
2024-10-04,0.0602,0.06857,0.0595,0.06703,245503844.232307,16456122.67889154
2024-10-05,0.06706,0.07096,0.06706,0.06982,216316122.078506,15103191.643521287
2024-10-06,0.06982,0.07479,0.0688,0.0734,237055193.268556,17399851.185912013
2024-10-07,0.07335,0.08133,0.07289,0.07737,385762474.99535,29846442.69039023
2024-10-08,0.07739,0.07975,0.07262,0.07546,304871760.928759,23005623.079684153
2024-10-09,0.07548,0.07841,0.06987,0.07055,260846157.468762,18402696.40942116
2024-10-10,0.07051,0.07481,0.06937,0.07367,225731006.033825,16629603.214511888
2024-10-11,0.0737,0.08034,0.07346,0.07762,348715765.52195,27067317.719813757
2024-10-12,0.07763,0.08266,0.07677,0.07849,294257718.637161,23096288.33583077
2024-10-13,0.07853,0.08119,0.0753,0.07951,185204087.39555,14725576.98882018
2024-10-14,0.07953,0.09086,0.07584,0.08863,513712595.9899,45530347.38258484
2024-10-15,0.08868,0.0925,0.08385,0.08727,373562368.977971,32600787.94070753
2024-10-16,0.08723,0.0878,0.08049,0.0837,243791424.056696,20405342.193545453
2024-10-17,0.08374,0.08547,0.07702,0.07889,190510673.237376,15029387.011696594
2024-10-18,0.07887,0.0868,0.07876,0.08533,267738325.657394,22846111.32834543
2024-10-19,0.08533,0.08788,0.08302,0.08679,174952670.492019,15184142.27200233
2024-10-20,0.0868,0.08727,0.08178,0.08476,195429360.687869,16564592.611903777
2024-10-21,0.08475,0.08546,0.07781,0.07898,281441463.108318,22228246.75629495
2024-10-22,0.07895,0.08137,0.07666,0.08007,148314760.12222,11875562.842986157
2024-10-23,0.08008,0.0826,0.07739,0.08202,171251692.903596,14046063.851952944
2024-10-24,0.08203,0.0835,0.07804,0.08181,144461793.584554,11818419.333152361
