timestamp,open,high,low,close,volume,liquidity_usd
2024-09-13,4.248,4.364,4.117,4.288,1510846.99463291,6478511.912985918
2024-09-14,4.289,4.306,4.153,4.193,1013920.44482417,4251368.425147744
2024-09-15,4.193,4.261,3.999,4.016,1365044.33225179,5482018.038323188
2024-09-16,4.016,4.031,3.849,3.88,1685864.69951036,6541155.034100196
2024-09-17,3.88,4.306,3.832,4.132,2277507.2981775,9410660.156069428
2024-09-18,4.132,4.256,3.936,4.25,2379010.52228662,10110794.719718136
2024-09-19,4.257,4.582,4.257,4.364,4129129.93064428,18019523.017331637
2024-09-20,4.368,4.508,4.258,4.385,2842213.33204417,12463105.461013684
2024-09-21,4.386,4.692,4.27,4.665,2399668.08962268,11194451.638089802
2024-09-22,4.664,4.684,4.381,4.524,2415969.84656493,10929847.585859744
2024-09-23,4.525,5.277,4.397,5.174,6556096.34246211,33921242.47589896
2024-09-24,5.177,5.398,5.056,5.345,5248033.33731667,28050738.187957603
2024-09-25,5.349,5.46,5.106,5.14,3615806.81366502,18585247.022238202
2024-09-26,5.142,5.869,5.115,5.547,4620171.67602753,25628092.28692471
2024-09-27,5.547,5.756,5.363,5.457,3480608.79341178,18993682.185648084
2024-09-28,5.454,5.579,5.335,5.559,1953297.24314871,10858379.374663679
2024-09-29,5.564,5.625,5.354,5.502,2238399.60423854,12315674.622520447
2024-09-30,5.506,5.515,5.225,5.287,2437842.76295863,12888874.687762277
2024-10-01,5.286,5.562,4.595,4.84,5313889.05773655,25719223.039444905
2024-10-02,4.839,5.004,4.523,4.627,2791513.57770638,12916333.324047418
2024-10-03,4.626,4.769,4.419,4.639,3075611.61157215,14267762.266083205
2024-10-04,4.639,4.862,4.591,4.83,2208148.73259707,10665358.378443846
2024-10-05,4.831,4.868,4.636,4.778,1633524.77066457,7804981.354235315
2024-10-06,4.776,4.966,4.715,4.949,1105426.07830697,5470753.661541194
2024-10-07,4.949,5.325,4.917,5.047,3115315.4128092,15722996.888448032
2024-10-08,5.046,5.157,4.855,4.895,2029353.24361897,9933684.127514858
2024-10-09,4.894,4.988,4.552,4.607,1707868.96747383,7868152.333151936
2024-10-10,4.607,4.684,4.423,4.595,1840496.49313042,8457081.38593428
2024-10-11,4.594,4.808,4.547,4.738,1174659.57627726,5565537.072401659
2024-10-12,4.738,4.92,4.678,4.846,1111114.74851404,5384462.071299038
