timestamp,open,high,low,close,volume,liquidity_usd,volume_usd
2024-09-13,0.0716,0.07857,0.06906,0.07675,28445333.8465,2183179.3727188753,2183179.3727188753
2024-09-14,0.07675,0.07836,0.07437,0.07746,15193248.9125,1176869.06076225,1176869.06076225
2024-09-15,0.07748,0.08282,0.07734,0.07953,25820484.0716,2053503.098214348,2053503.098214348
2024-09-16,0.07954,0.08145,0.07417,0.0754,29085430.3353,2193041.4472816195,2193041.4472816195
2024-09-17,0.07541,0.08788,0.07355,0.08559,28277761.9917,2420293.648869603,2420293.648869603
2024-09-18,0.08561,0.09095,0.0784,0.08515,42865482.4973,3649995.8346450953,3649995.8346450953
2024-09-19,0.08524,0.08947,0.08476,0.08811,26693444.4828,2351959.3933795076,2351959.3933795076
2024-09-20,0.08821,0.11705,0.08558,0.10836,118093793.2292,12796643.434316112,12796643.434316112
2024-09-21,0.10833,0.13225,0.10798,0.11567,81707569.6028,9451114.575955875,9451114.575955875
2024-09-22,0.11568,0.12656,0.11061,0.11991,58834060.9075,7054792.243418325,7054792.243418325
2024-09-23,0.11992,0.12253,0.10814,0.11091,35541783.089,3941939.16240099,3941939.16240099
2024-09-24,0.11105,0.13,0.10601,0.12541,48738880.4314,6112342.994901874,6112342.994901874
2024-09-25,0.12559,0.13973,0.12342,0.13397,60433716.2135,8096304.961122596,8096304.961122596
2024-09-26,0.13403,0.13865,0.12398,0.12623,35944252.6874,4537243.016730502,4537243.016730502
2024-09-27,0.12627,0.13289,0.12362,0.12779,22926091.511,2929725.23419069,2929725.23419069
2024-09-28,0.12748,0.143,0.12554,0.14251,33255320.7641,4739215.762091891,4739215.762091891
2024-09-29,0.14253,0.19888,0.1414,0.17506,105399881.7536,18451303.299785215,18451303.299785215
2024-09-30,0.17514,0.18475,0.16142,0.17452,69260662.4772,12087370.815520944,12087370.815520944
2024-10-01,0.17444,0.18567,0.15,0.16257,65592551.8993,10663381.162269201,10663381.162269201
2024-10-02,0.16257,0.187,0.16047,0.17634,51304721.5144,9047074.591849295,9047074.591849295
2024-10-03,0.17631,0.18827,0.15234,0.15486,54751484.9259,8478814.955624873,8478814.955624873
2024-10-04,0.15488,0.16657,0.15016,0.15774,40077332.4765,6321798.424843109,6321798.424843109
2024-10-05,0.15782,0.15968,0.14277,0.15184,26290914.9314,3992012.523183776,3992012.523183776
2024-10-06,0.15193,0.17013,0.14904,0.15945,33709321.2752,5374951.277330641,5374951.277330641
2024-10-07,0.15947,0.18779,0.1591,0.17429,44957249.3051,7835598.981385879,7835598.981385879
2024-10-08,0.17435,0.18575,0.16763,0.17175,30962645.8397,5317834.422968475,5317834.422968475
2024-10-09,0.17167,0.192,0.16453,0.17611,49433426.1694,8705720.682693033,8705720.682693033
2024-10-10,0.17611,0.17789,0.15645,0.16344,28574344.48,4670190.8618112,4670190.8618112
2024-10-11,0.16336,0.18652,0.15886,0.18451,24242641.6377,4473009.808572027,4473009.808572027
2024-10-12,0.18454,0.22972,0.17946,0.22487,43084509.4024,9688413.629317688,9688413.629317688
2024-10-13,0.22501,0.2351,0.20708,0.234,40205257.3282,9408030.2147988,9408030.2147988
2024-10-14,0.23376,0.2347,0.20767,0.20948,37305345.8574,7814723.850208152,7814723.850208152
2024-10-15,0.20967,0.20983,0.17661,0.18453,42227944.6622,7792322.628515765,7792322.628515765
2024-10-16,0.18458,0.19079,0.17235,0.1835,27274009.7075,5004780.78132625,5004780.78132625
2024-10-17,0.18375,0.19773,0.17564,0.17655,37828509.4026,6678623.33502903,6678623.33502903
2024-10-18,0.17655,0.18783,0.173,0.1844,24803096.4307,4573690.981821081,4573690.981821081
2024-10-19,0.18432,0.18457,0.15767,0.16151,33508753.7295,5411998.814851545,5411998.814851545
2024-10-20,0.16167,0.17529,0.15856,0.17232,20386102.6124,3512933.202168768,3512933.202168768
2024-10-21,0.1723,0.17469,0.1554,0.16148,18034489.1099,2912209.3014666527,2912209.3014666527
2024-10-22,0.16168,0.16526,0.14681,0.15019,22364824.9577,3358973.060396963,3358973.060396963
2024-10-23,0.1503,0.15083,0.13843,0.14565,27506178.8236,4006274.9456573403,4006274.9456573403
2024-10-24,0.14576,0.15758,0.14476,0.14863,23156836.2292,3441800.5687459963,3441800.5687459963
2024-10-25,0.1488,0.1496,0.13,0.13806,22009742.4546,3038665.043282076,3038665.043282076
2024-10-26,0.13805,0.14445,0.13386,0.14058,17556878.3608,2468145.9599612644,2468145.9599612644
2024-10-27,0.14055,0.1622,0.13888,0.15958,23970431.1423,3825201.401688234,3825201.401688234
2024-10-28,0.15954,0.16093,0.13802,0.15247,22990208.041,3505317.02001127,3505317.02001127
2024-10-29,0.15245,0.188,0.15123,0.18516,46691536.0226,8645404.809944617,8645404.809944617
2024-10-30,0.18518,0.19038,0.17465,0.18577,22646781.544,4207092.6074288795,4207092.6074288795
2024-10-31,0.18563,0.18814,0.17309,0.1782,19546076.1091,3483110.76264162,3483110.76264162
2024-11-01,0.17821,0.20149,0.17172,0.1905,42945737.6996,8181163.031773801,8181163.031773801
2024-11-02,0.19054,0.192,0.17959,0.18382,16882152.1448,3103277.2072571362,3103277.2072571362
2024-11-03,0.18419,0.18555,0.16325,0.18334,24454803.7138,4483543.712888092,4483543.712888092
2024-11-04,0.18351,0.18389,0.16323,0.16641,21328885.8802,3549339.899324082,3549339.899324082
2024-11-05,0.16654,0.1995,0.16551,0.19038,25564313.6806,4866934.038512628,4866934.038512628
2024-11-06,0.19058,0.39384,0.19019,0.29933,292350285.9007,87509211.07865652,87509211.07865652
2024-11-07,0.29944,0.42378,0.28663,0.3873,139309496.8732,53954568.13899036,53954568.13899036
2024-11-08,0.38819,0.45749,0.34518,0.36288,98008997.7636,35565505.108455166,35565505.108455166
2024-11-09,0.36277,0.44141,0.35389,0.43401,70123844.2695,30434449.651405696,30434449.651405696
2024-11-10,0.4346,0.49896,0.39785,0.41338,78613293.4281,32497163.23730798,32497163.23730798
2024-11-11,0.41354,0.44921,0.35996,0.37538,63956054.4082,24007823.703750115,24007823.703750115
2024-11-12,0.37538,0.3758,0.31,0.33069,68559371.3462,22671898.51047488,22671898.51047488
2024-11-13,0.33091,0.39938,0.30889,0.36194,94688977.0702,34271728.36078818,34271728.36078818
2024-11-14,0.36203,0.3859,0.3417,0.3787,42695035.221,16168609.8381927,16168609.8381927
2024-11-15,0.37871,0.40377,0.34,0.38515,41163448.9767,15854102.373376004,15854102.373376004
2024-11-16,0.38534,0.4143,0.36175,0.36681,27214503.6067,9982552.067973627,9982552.067973627
2024-11-17,0.36687,0.37425,0.34398,0.36134,24910632.2583,9001207.860214122,9001207.860214122
2024-11-18,0.36147,0.3656,0.32375,0.33229,15159375.7867,5037308.980162542,5037308.980162542
2024-11-19,0.33227,0.35022,0.3227,0.34004,12088875.474,4110701.2161789597,4110701.2161789597
2024-11-20,0.33992,0.3409,0.3026,0.31025,22995842.8762,7134460.252341051,7134460.252341051
2024-11-21,0.31015,0.33132,0.29268,0.32573,15984842.6475,5206742.795570175,5206742.795570175
2024-11-22,0.32558,0.32676,0.297,0.31631,10595775.2346,3351549.6644563256,3351549.6644563256
2024-11-23,0.31657,0.34166,0.30627,0.31971,19417770.7077,6208055.472958767,6208055.472958767
2024-11-24,0.31971,0.34,0.29648,0.31328,18187422.447,5697755.704196161,5697755.704196161
2024-11-25,0.3137,0.3326,0.29886,0.32431,21194856.8088,6873704.011661928,6873704.011661928
2024-11-26,0.32415,0.3698,0.31458,0.36855,49865019.7437,18377753.026540633,18377753.026540633
2024-11-27,0.36863,0.38109,0.33086,0.37572,26580215.4793,9986718.559882596,9986718.559882596
2024-11-28,0.37555,0.38331,0.35219,0.35681,18185525.7455,6488777.441251854,6488777.441251854
2024-11-29,0.35715,0.37525,0.3431,0.37059,12832720.1472,4755677.759350847,4755677.759350847
2024-11-30,0.37044,0.38975,0.36479,0.38442,14028716.0157,5392919.010755394,5392919.010755394
2024-12-01,0.38456,0.38779,0.3601,0.36576,11734574.7992,4292038.078555392,4292038.078555392
2024-12-02,0.36714,0.3702,0.3299,0.36042,15647591.941,5639705.08737522,5639705.08737522
2024-12-03,0.36065,0.41888,0.3593,0.3968,40164559.1079,15937297.05401472,15937297.05401472
2024-12-04,0.39735,0.41306,0.376,0.39581,17899282.9295,7084715.176325395,7084715.176325395
2024-12-05,0.39626,0.46381,0.37361,0.43346,28756720.1817,12464887.92995968,12464887.92995968
2024-12-06,0.43347,0.4613,0.4089,0.43988,14396098.1356,6332555.647887728,6332555.647887728
2024-12-07,0.44026,0.46051,0.4283,0.43228,13706307.5085,5924962.60977438,5924962.60977438
2024-12-08,0.43234,0.45504,0.41794,0.42739,9540143.7171,4077362.023251369,4077362.023251369
2024-12-09,0.4277,0.42852,0.26677,0.3427,26444766.1171,9062621.34833017,9062621.34833017
2024-12-10,0.34219,0.34666,0.30153,0.32648,20067101.6865,6551507.358608521,6551507.358608521
2024-12-11,0.32638,0.38786,0.3119,0.38514,18161689.1414,6994792.955918795,6994792.955918795
2024-12-12,0.38489,0.45647,0.38474,0.41231,42592798.7352,17561436.846510313,17561436.846510313
2024-12-13,0.41243,0.4443,0.40014,0.42376,20126467.1805,8528791.73240868,8528791.73240868
2024-12-14,0.42371,0.43236,0.37584,0.3848,8621740.01,3317645.5558479996,3317645.5558479996
2024-12-15,0.38489,0.49,0.37101,0.456,29403366.7301,13407935.2289256,13407935.2289256
2024-12-16,0.45619,0.48299,0.40684,0.40786,29484697.1365,12025628.574092891,12025628.574092891
2024-12-17,0.40769,0.40913,0.3813,0.38776,13255046.5895,5139776.86554452,5139776.86554452
2024-12-18,0.3882,0.40572,0.34567,0.36608,25804813.97,9446626.2981376,9446626.2981376
2024-12-19,0.366,0.38113,0.31822,0.3337,27640846.1033,9223750.34467121,9223750.34467121
2024-12-20,0.3339,0.37933,0.28278,0.36055,36278415.451,13080182.69085805,13080182.69085805
2024-12-21,0.36058,0.39015,0.32318,0.33095,19678421.0561,6512573.448516295,6512573.448516295
2024-12-22,0.33125,0.34399,0.31861,0.32751,13928210.0646,4561628.078257146,4561628.078257146
2024-12-23,0.32727,0.36649,0.3145,0.35997,16326039.4446,5876884.418872662,5876884.418872662
2024-12-24,0.35971,0.36923,0.34278,0.36135,8067326.2086,2915128.32547761,2915128.32547761
2024-12-25,0.36122,0.3834,0.35904,0.37351,11288985.7703,4216549.075064753,4216549.075064753
2024-12-26,0.37325,0.37728,0.3384,0.34298,6580729.8984,2257058.7405532324,2257058.7405532324
2024-12-27,0.34296,0.36287,0.32867,0.3306,7730779.143,2555795.5846758,2555795.5846758
2024-12-28,0.33067,0.34765,0.32035,0.33085,5017761.3482,1660126.3420519698,1660126.3420519698
