timestamp,open,high,low,close,volume,liquidity
2024-09-10,0.1324,0.1494,0.1292,0.1462,16103634.2132,2354351.3219698397
2024-09-11,0.1464,0.1541,0.1404,0.1459,17874830.1245,2607937.71516455
2024-09-12,0.1458,0.146,0.1387,0.142,7537366.5729,1070306.0533518
2024-09-13,0.1417,0.1417,0.1329,0.1369,6672044.1083,913402.83842627
2024-09-14,0.137,0.1378,0.1336,0.1356,3875986.7725,525583.806351
2024-09-15,0.1354,0.1398,0.1295,0.1315,8195356.5926,1077689.3919269
2024-09-16,0.131,0.1319,0.1222,0.124,6734654.2296,835097.1244704
2024-09-17,0.1239,0.1271,0.1213,0.1246,6629626.646,826051.4800916
2024-09-18,0.1246,0.1276,0.1191,0.1276,5244036.0735,669139.0029786
2024-09-19,0.1276,0.1332,0.127,0.1319,5310194.7638,700414.6893452199
2024-09-20,0.132,0.139,0.1294,0.1364,4411672.9275,601752.187311
2024-09-21,0.1363,0.1427,0.133,0.1422,6692348.645,951651.9773189999
2024-09-22,0.142,0.1423,0.1335,0.1379,8828855.1941,1217499.13126639
2024-09-23,0.1378,0.1543,0.1347,0.1484,15837801.8823,2350329.79933332
2024-09-24,0.1484,0.159,0.1442,0.1587,14726243.7491,2337054.88298217
2024-09-25,0.1585,0.1622,0.1557,0.1571,9876454.8996,1551591.0647271597
2024-09-26,0.1572,0.1619,0.1538,0.1583,5554554.3651,879285.95599533
2024-09-27,0.1584,0.1613,0.156,0.1589,4327036.9377,687566.16940053
2024-09-28,0.159,0.1652,0.152,0.1553,3483188.9681,540939.24674593
2024-09-29,0.1554,0.1634,0.1506,0.1629,17321994.1174,2821752.84172446
2024-09-30,0.163,0.171,0.1395,0.1411,76202784.4925,10752212.891891751
2024-10-01,0.1411,0.15,0.1241,0.1291,13174598.5054,1700840.66704714
2024-10-02,0.1291,0.1324,0.1209,0.1233,6531626.831,805349.5882623001
2024-10-03,0.1233,0.1265,0.1171,0.1235,12145245.087,1499937.7682444998
2024-10-04,0.1235,0.1294,0.1233,0.1287,11114082.9439,1430382.47487993
2024-10-05,0.1286,0.134,0.128,0.1306,7835761.0717,1023350.3959640199
2024-10-06,0.1306,0.1349,0.1303,0.134,3427593.2515,459297.495701
2024-10-07,0.1339,0.1367,0.1311,0.1319,8311026.1969,1096224.35537111
2024-10-08,0.132,0.1339,0.1268,0.1283,6709969.3345,860889.0656163499
2024-10-09,0.1282,0.1299,0.1229,0.1249,4750042.3699,593280.29200051
2024-10-10,0.1248,0.1284,0.122,0.1264,4230012.6279,534673.59616656
2024-10-11,0.1262,0.1331,0.125,0.1324,2565447.9504,339665.30863295996
2024-10-12,0.1325,0.134,0.1314,0.1328,1465810.2587,194659.60235536
2024-10-13,0.1328,0.1331,0.1259,0.1292,2712145.6203,350409.21414276
2024-10-14,0.1292,0.1364,0.1274,0.1349,3954088.3515,533406.5186173499
2024-10-15,0.1349,0.1364,0.1281,0.1339,6004083.1137,803946.7289244299
2024-10-16,0.1338,0.1344,0.1302,0.1318,3215526.3848,423806.37751664
2024-10-17,0.1316,0.1331,0.126,0.128,2275791.2905,291301.28518400004
2024-10-18,0.1278,0.1347,0.1271,0.1346,1501047.0785,202040.9367661
2024-10-19,0.1347,0.1377,0.1313,0.1331,4393525.8476,584778.29031556
2024-10-20,0.1332,0.1443,0.1315,0.1409,14899295.9694,2099310.80208846
2024-10-21,0.141,0.1441,0.1342,0.1354,5928611.9295,802734.0552542999
2024-10-22,0.1355,0.1367,0.1309,0.1344,5061935.194,680324.0900736
2024-10-23,0.1344,0.135,0.1274,0.1322,3916548.8849,517767.76258378004
2024-10-24,0.132,0.1378,0.1293,0.1378,4474285.8555,616556.5908879
2024-10-25,0.1379,0.1419,0.1192,0.1244,12434918.2043,1546903.82461492
2024-10-26,0.1242,0.1308,0.1222,0.1274,6321928.1533,805413.6467304202
2024-10-27,0.1272,0.1324,0.1264,0.1318,3014573.2089,397320.74893302
2024-10-28,0.1318,0.1355,0.1261,0.1323,6609224.0012,874400.33535876
2024-10-29,0.1323,0.1421,0.1318,0.1408,7169856.4219,1009515.7842035202
2024-10-30,0.1407,0.1409,0.1341,0.1357,3703402.2154,502551.68062978
2024-10-31,0.1356,0.1362,0.1267,0.1277,4752951.609,606951.9204693
2024-11-01,0.1275,0.1299,0.1232,0.1255,8025477.6142,1007197.4405821
2024-11-02,0.1254,0.13,0.1226,0.1267,5359684.1686,679071.9841616201
2024-11-03,0.1267,0.1267,0.116,0.1203,7309878.3186,879378.36172758
2024-11-04,0.1202,0.1239,0.1154,0.1174,7317721.5411,859100.50892514
