timestamp,open,high,low,close,volume,liquidity
2024-09-10,0.10376,0.1046,0.10153,0.10278,200239024.062518,20580566.8931456
2024-09-11,0.1028,0.10304,0.09785,0.10131,342182246.76271,34666483.419530146
2024-09-12,0.10132,0.10334,0.10046,0.10271,192135953.051558,19734283.73792552
2024-09-13,0.10271,0.10845,0.10179,0.10698,393432684.03182,42089428.53772411
2024-09-14,0.10698,0.1077,0.10431,0.1054,170389581.229661,17959061.861606266
2024-09-15,0.1054,0.10642,0.10213,0.10284,172208421.154414,17709914.031519935
2024-09-16,0.10281,0.10321,0.09837,0.09968,340481640.752418,33939209.95020103
2024-09-17,0.09968,0.10274,0.0987,0.10112,235472012.770958,23810929.931399275
2024-09-18,0.10113,0.1039,0.09933,0.10387,211837319.490114,22003542.375438143
2024-09-19,0.10387,0.1071,0.10341,0.10498,355814811.424711,37353438.90336616
2024-09-20,0.105,0.10748,0.10359,0.10554,238590333.043113,25180823.749370143
2024-09-21,0.10555,0.1105,0.10405,0.10994,197345224.850055,21696134.020015046
2024-09-22,0.10992,0.10996,0.10375,0.10635,204306328.481788,21727978.034038156
2024-09-23,0.10633,0.10919,0.10402,0.10802,227022622.208746,24522983.650988743
2024-09-24,0.10802,0.1106,0.10682,0.10975,309554555.66215,33973612.48392097
2024-09-25,0.10975,0.11117,0.10802,0.10852,229717109.796546,24928900.755121175
2024-09-26,0.10852,0.12068,0.107,0.11814,542702096.887401,64114825.72627755
2024-09-27,0.11815,0.12874,0.11698,0.1235,579724056.965796,71595921.0352758
2024-09-28,0.12351,0.13207,0.12012,0.1281,766841737.92794,98232426.62856911
2024-09-29,0.12811,0.13042,0.12428,0.12436,380222905.52046,47284520.5305244
2024-09-30,0.12437,0.1247,0.11322,0.11422,477716274.488344,54564752.87205865
2024-10-01,0.11423,0.11934,0.10248,0.10686,718065505.568762,76732479.9250779
2024-10-02,0.10686,0.10949,0.10223,0.10464,402858748.231062,42155139.41489833
2024-10-03,0.10462,0.10682,0.10103,0.10509,314946716.756972,33097750.46399019
2024-10-04,0.10506,0.11058,0.10476,0.10923,262877452.402044,28714104.125875264
2024-10-05,0.10923,0.11023,0.10744,0.1094,138749913.667407,15179240.555214327
2024-10-06,0.10941,0.1129,0.10842,0.11158,155491103.990354,17349697.3832437
2024-10-07,0.11158,0.11547,0.10824,0.10844,324855087.989394,35227285.741569884
2024-10-08,0.10842,0.10985,0.10524,0.10712,251048644.057657,26892330.75145622
2024-10-09,0.1071,0.1115,0.1061,0.10795,275080028.93037,29694889.12303344
2024-10-10,0.10795,0.10869,0.10306,0.10603,239513814.640526,25395649.76633497
2024-10-11,0.10602,0.11139,0.10564,0.11075,228896697.817757,25350309.28331659
2024-10-12,0.11076,0.1122,0.10925,0.11141,150591430.875936,16777391.31388803
2024-10-13,0.1114,0.11219,0.10864,0.11138,176371500.707314,19644257.748780638
2024-10-14,0.11139,0.11774,0.10931,0.11671,562206438.535896,65615113.44152441
2024-10-15,0.11672,0.11936,0.11015,0.11748,709454574.526907,83346723.41542102
2024-10-16,0.11748,0.12995,0.11578,0.12573,1064739357.273721,133869679.39002495
2024-10-17,0.12574,0.13096,0.12051,0.12961,724142018.974308,93856047.07926007
2024-10-18,0.12962,0.1408,0.12946,0.13713,1178784065.340151,161646658.88009492
2024-10-19,0.13714,0.14795,0.137,0.14413,844918661.430647,121778126.67199916
2024-10-20,0.14412,0.14573,0.13699,0.14217,626480699.700234,89066761.07638226
2024-10-21,0.14217,0.14971,0.13804,0.14366,973506773.472903,139853983.07711726
2024-10-22,0.14365,0.14844,0.13655,0.13973,717475774.929343,100252890.03087708
2024-10-23,0.13972,0.14114,0.13313,0.13998,645136443.171914,90306199.31520452
2024-10-24,0.13998,0.1438,0.13632,0.14194,507043490.796415,71969753.08364315
2024-10-25,0.14192,0.14275,0.12757,0.13158,634510192.982856,83488851.1926842
2024-10-26,0.13158,0.13821,0.13069,0.13744,346591317.164431,47635510.6310794
2024-10-27,0.13746,0.14633,0.13606,0.14426,436661961.132225,62992854.512934774
2024-10-28,0.14425,0.16257,0.14112,0.16141,1318503901.443858,212819714.7320531
2024-10-29,0.16142,0.17974,0.16047,0.1759,1370377005.182537,241049315.21160826
2024-10-30,0.17591,0.178,0.16432,0.16825,812651331.6686,136728586.55324194
2024-10-31,0.16825,0.1736,0.15628,0.16164,834249718.649505,134848124.522506
2024-11-01,0.16164,0.16898,0.15415,0.15916,940661497.943856,149715684.01274413
2024-11-02,0.15919,0.16364,0.15536,0.15955,406292411.72645,64823954.290955104
2024-11-03,0.15955,0.15989,0.14203,0.15133,955530205.992903,144600386.07290602
2024-11-04,0.15135,0.16028,0.14817,0.1582,918767761.52655,145349059.87350023
2024-11-05,0.15822,0.17982,0.15793,0.16998,1711394346.786819,290902811.0668235
2024-11-06,0.16998,0.2195,0.16902,0.19644,4740577942.75705,931239131.0751948
2024-11-07,0.1965,0.20449,0.185,0.19325,1223891633.96517,236517058.2637691
2024-11-08,0.19328,0.207,0.19001,0.20196,1179405123.498976,238192658.74185318
2024-11-09,0.20197,0.21999,0.1973,0.21886,1099215803.959558,240574370.85458887
2024-11-10,0.21887,0.29783,0.21652,0.27779,3714045388.523237,1031724668.47787
2024-11-11,0.27782,0.35141,0.2725,0.35113,4083138141.717523,1433712295.701274
2024-11-12,0.35113,0.439,0.32641,0.37987,7883019025.237865,2994522437.117108
2024-11-13,0.37996,0.43371,0.3513,0.39902,5619696960.70211,2242371481.259356
2024-11-14,0.39899,0.41669,0.3522,0.36257,2825160933.707307,1024318599.7342583
2024-11-15,0.36248,0.38497,0.35265,0.38151,2177860134.98135,830875420.0967349
2024-11-16,0.38154,0.3915,0.35973,0.36419,1377737991.806006,501758399.23582935
2024-11-17,0.36419,0.3758,0.33954,0.367,1626474922.496488,596916296.5562111
