datetime,open,high,low,close,volume
2025-03-30,0.1042,0.1103,0.1022,0.1068,10237049.178
2025-03-31,0.107,0.1133,0.1028,0.1051,18168250.268
2025-04-01,0.1053,0.1159,0.103,0.1043,34520645.577
2025-04-02,0.1042,0.1044,0.0767,0.0799,58756945.357
2025-04-03,0.0799,0.0853,0.075,0.0807,20572046.144
2025-04-04,0.0808,0.087,0.0781,0.0837,12920637.025
2025-04-05,0.0838,0.0849,0.0789,0.0814,6636655.873
2025-04-06,0.0811,0.0811,0.0683,0.0713,11499204.006
2025-04-07,0.0714,0.0803,0.0669,0.0759,16858590.714
2025-04-08,0.076,0.0788,0.0681,0.0686,12219076.47
2025-04-09,0.0687,0.0816,0.0658,0.0796,14746710.225
2025-04-10,0.0798,0.0798,0.0729,0.077,10730407.36
2025-04-11,0.077,0.0846,0.0758,0.0807,14450544.209
2025-04-12,0.0806,0.0908,0.0772,0.0897,14753744.066
2025-04-13,0.0899,0.094,0.0808,0.0833,12305148.932
2025-04-14,0.0834,0.0874,0.079,0.0798,11565436.914
2025-04-15,0.0799,0.0837,0.0757,0.0765,10102067.065
2025-04-16,0.0764,0.0794,0.073,0.0755,6930578.319
2025-04-17,0.0755,0.0783,0.0724,0.0757,5202007.451
2025-04-18,0.0757,0.0809,0.0749,0.0778,9469304.671
2025-04-19,0.0778,0.0848,0.0768,0.0836,4134294.925
2025-04-20,0.0835,0.0869,0.0808,0.0842,5773571.436
2025-04-21,0.0842,0.0885,0.0822,0.0832,6249027.364
2025-04-22,0.0831,0.101,0.0808,0.10015,11300984.314
2025-04-23,0.10029,0.13544,0.10029,0.11192,46000279.739
2025-04-24,0.11227,0.1131,0.10141,0.11094,20356268.342
2025-04-25,0.11102,0.1425,0.108,0.12383,42817597.099
2025-04-26,0.12404,0.16726,0.12398,0.15343,62423609.549
2025-04-27,0.1535,0.15358,0.12964,0.13146,39234348.994
2025-04-28,0.13156,0.1614,0.12407,0.15616,56871174.568
2025-04-29,0.15616,0.16886,0.14342,0.15346,39979561.886
2025-04-30,0.15343,0.16816,0.14422,0.16461,31923928.748
2025-05-01,0.1648,0.21624,0.16,0.21227,63096975.846
2025-05-02,0.21181,0.21745,0.18553,0.19331,37529069.506
2025-05-03,0.19338,0.195,0.1727,0.17395,19664825.753
2025-05-04,0.17404,0.17773,0.15703,0.16774,24759733.687
2025-05-05,0.16785,0.19212,0.1612,0.17033,37002197.64
2025-05-06,0.17061,0.18299,0.15214,0.16587,28792521.118
