datetime,open,high,low,close,volume
2025-03-30,2.5,2.625,2.469,2.526,69054.854
2025-03-31,2.529,2.75,2.454,2.714,190352.804
2025-04-01,2.717,3.081,2.717,3.028,442740.378
2025-04-02,3.036,3.331,2.913,2.963,888495.361
2025-04-03,2.966,3.2,2.707,3.184,724652.203
2025-04-04,3.182,3.256,3.002,3.195,491929.988
2025-04-05,3.191,3.293,3.035,3.063,239244.883
2025-04-06,3.063,3.133,2.584,2.639,366456.26
2025-04-07,2.642,3.027,2.372,2.859,1064669.389
2025-04-08,2.86,3.16,2.709,2.717,587509.246
2025-04-09,2.721,3.457,2.604,3.347,736180.189
2025-04-10,3.345,3.418,3.132,3.176,520685.004
2025-04-11,3.173,3.473,3.162,3.255,499623.961
2025-04-12,3.257,3.577,3.169,3.453,305850.454
2025-04-13,3.458,3.531,3.171,3.218,232389.561
2025-04-14,3.219,3.341,3.089,3.104,259817.14
2025-04-15,3.109,3.243,3.009,3.047,180609.017
2025-04-16,3.05,3.233,3.025,3.147,286747.523
2025-04-17,3.146,3.236,2.982,3.108,284930.638
2025-04-18,3.113,3.192,3.034,3.176,95596.173
2025-04-19,3.177,3.225,3.104,3.173,60646.53
2025-04-20,3.175,3.231,3.041,3.114,117984.734
2025-04-21,3.113,3.378,3.112,3.241,203848.54
2025-04-22,3.238,3.483,3.177,3.459,144141.981
2025-04-23,3.462,3.58,3.253,3.268,270982.582
2025-04-24,3.267,3.529,3.116,3.43,187905.687
2025-04-25,3.435,3.76,3.313,3.563,365511.462
2025-04-26,3.561,3.683,3.421,3.462,195719.842
2025-04-27,3.456,3.53,3.256,3.294,221630.908
2025-04-28,3.302,3.437,3.192,3.369,295344.666
2025-04-29,3.373,3.422,3.269,3.329,135354.897
2025-04-30,3.325,3.462,3.223,3.439,143346.082
2025-05-01,3.441,3.583,3.431,3.514,86919.331
2025-05-02,3.513,3.639,3.509,3.614,68589.093
2025-05-03,3.611,3.613,3.292,3.33,115848.005
2025-05-04,3.33,3.343,3.168,3.212,67093.87
2025-05-05,3.212,3.277,3.147,3.227,47775.483
2025-05-06,3.235,3.235,3.081,3.208,74485.942
2025-05-07,3.206,3.253,3.121,3.227,85622.553
2025-05-08,3.233,3.763,3.177,3.675,247836.22
2025-05-09,3.675,4.0,3.612,3.861,360543.633
2025-05-10,3.868,4.126,3.818,4.085,218556.417
2025-05-11,4.087,4.122,3.768,3.9,201216.455
2025-05-12,3.902,4.117,3.63,3.833,141725.665
2025-05-13,3.829,4.282,3.654,4.193,263235.557
2025-05-14,4.197,4.351,4.054,4.208,175363.315
2025-05-15,4.211,4.307,3.722,4.09,265942.073
2025-05-16,4.09,4.321,3.917,3.991,254103.584
2025-05-17,4.001,4.039,3.851,3.904,91007.151
2025-05-18,3.904,4.193,3.855,4.182,94581.881
2025-05-19,4.186,4.21,3.833,4.141,185228.033
2025-05-20,4.138,4.489,4.131,4.382,278331.331
2025-05-21,4.388,4.557,4.223,4.365,179145.292
2025-05-22,4.368,4.715,4.357,4.662,126018.366
2025-05-23,4.648,4.711,4.235,4.254,162589.821
2025-05-24,4.245,4.516,4.242,4.426,104628.287
2025-05-25,4.423,4.458,4.247,4.418,98531.001
2025-05-26,4.416,4.496,4.298,4.328,69615.085
2025-05-27,4.328,4.707,4.257,4.555,82832.045
2025-05-28,4.558,4.614,4.389,4.512,236900.396
2025-05-29,4.509,4.67,4.306,4.333,190762.029
2025-05-30,4.33,4.361,3.93,3.947,271683.114
2025-05-31,3.946,4.145,3.805,3.992,135095.276
2025-06-01,3.994,4.137,3.893,4.121,67223.688
2025-06-02,4.114,4.303,3.952,4.293,80156.736
2025-06-03,4.284,4.389,4.182,4.216,89931.692
2025-06-04,4.223,4.403,4.084,4.107,99229.638
2025-06-05,4.111,4.2,3.804,3.988,128227.847
2025-06-06,3.981,4.142,3.948,4.013,46978.468
2025-06-07,3.999,4.132,3.982,4.105,48738.461
2025-06-08,4.109,4.118,3.998,4.062,47579.975
2025-06-09,4.058,4.341,3.903,4.322,66000.802
2025-06-10,4.328,4.555,4.296,4.472,98318.982
2025-06-11,4.466,4.552,3.988,4.02,154577.801
2025-06-12,4.016,4.126,3.834,3.862,140874.975
2025-06-13,3.855,3.916,3.425,3.821,336448.042
2025-06-14,3.815,3.882,3.659,3.708,61364.954
2025-06-15,3.704,3.732,3.591,3.698,46127.423
2025-06-16,3.689,4.157,3.635,4.076,155390.11
2025-06-17,4.075,4.109,3.739,3.93,155729.155
2025-06-18,3.933,4.005,3.62,3.773,112873.601
2025-06-19,3.775,3.925,3.684,3.886,44704.256
2025-06-20,3.893,3.941,3.592,3.655,169538.856
2025-06-21,3.658,3.71,3.402,3.489,69416.175
2025-06-22,3.5,3.555,3.102,3.265,192347.624
2025-06-23,3.265,3.621,3.152,3.592,114533.084
2025-06-24,3.595,3.66,3.456,3.543,160428.14
2025-06-25,3.544,3.609,3.344,3.35,79880.83
2025-06-26,3.355,3.486,3.28,3.334,63315.006
2025-06-27,3.344,3.498,3.277,3.444,57053.362
2025-06-28,3.432,3.572,3.43,3.564,35811.321
2025-06-29,3.558,3.722,3.511,3.713,40872.237
2025-06-30,3.712,3.73,3.439,3.456,94621.607
2025-07-01,3.456,3.482,3.251,3.309,66114.032
2025-07-02,3.304,3.597,3.27,3.525,73447.255
2025-07-03,3.532,3.662,3.473,3.517,61029.596
2025-07-04,3.524,3.559,3.24,3.333,75661.295
2025-07-05,3.341,3.377,3.286,3.347,34193.724
2025-07-06,3.341,3.464,3.29,3.425,46469.937
2025-07-07,3.423,3.464,3.336,3.398,29129.257
